19
255 2 2 1 26
171 87 0
172 87 0
173 87 16
174 89 0
175 92 0
175 94 15
176 97 0
176 100 0
177 102 0
178 105 16
178 108 0
178 111 0
178 114 0
179 117 0
179 119 15
179 122 0
179 125 0
179 128 0
179 130 16
179 131 0
179 132 0
179 133 16
179 134 0
179 135 0
179 136 0
179 137 15
255 2 2 1 30
122 158 0
124 158 31
126 158 0
128 158 0
131 158 0
136 158 16
143 158 0
151 158 0
159 158 0
167 158 15
175 158 0
184 158 0
193 158 0
203 158 16
212 158 0
221 158 0
230 159 0
238 159 16
244 159 0
251 159 0
258 159 0
263 159 15
269 159 0
273 159 0
275 159 0
278 159 16
280 159 0
282 159 0
284 159 0
285 158 15
255 2 2 1 35
164 225 0
161 228 0
159 233 0
158 237 0
157 243 0
157 247 15
157 253 0
157 257 0
157 261 0
158 265 16
161 269 0
163 272 0
167 276 0
170 278 16
175 282 0
181 284 0
188 286 0
192 287 15
199 288 0
205 289 0
210 289 0
216 288 16
222 287 0
227 285 0
232 283 0
237 280 16
243 277 0
249 273 0
252 269 0
256 266 15
259 262 0
259 258 0
260 255 0
260 250 16
260 247 0
255 2 2 1 75
259 240 0
260 239 62
260 238 0
260 237 0
260 236 16
260 235 0
259 234 0
259 233 0
259 232 15
258 230 0
257 229 0
257 227 0
255 226 16
254 225 0
253 223 0
252 221 0
251 220 16
249 217 0
248 216 0
247 214 15
245 212 16
244 212 0
242 210 0
241 209 0
240 209 15
239 207 0
238 207 0
236 206 0
235 205 16
233 204 0
230 203 0
228 202 16
227 202 0
225 202 0
223 201 0
221 200 15
220 200 0
218 200 0
215 200 0
213 200 0
211 200 16
209 200 0
207 200 0
204 200 16
199 200 0
196 201 0
193 203 0
191 203 15
189 204 0
187 205 0
184 205 0
182 206 16
180 207 0
178 208 0
175 209 0
174 212 15
173 213 0
170 215 0
169 218 0
167 219 16
165 221 0
164 223 0
163 225 0
162 227 16
161 229 0
160 231 0
159 231 0
159 233 15
159 234 0
158 234 0
158 236 0
158 237 16
158 238 0
158 239 16
158 240 0
255 2 2 1 112
533 171 0
532 171 0
530 171 0
529 169 15
528 169 0
527 169 0
526 169 0
524 169 16
522 169 0
520 169 0
518 169 0
516 169 16
513 169 0
511 169 0
507 169 0
504 170 15
500 172 0
496 173 0
491 176 0
487 179 16
483 183 0
478 186 0
474 190 0
471 193 16
467 196 0
465 201 0
462 206 0
459 209 15
457 214 0
456 218 0
454 221 0
452 226 16
452 229 0
452 233 0
452 236 0
455 240 15
457 244 0
460 249 0
464 253 0
465 257 16
468 259 0
470 261 0
474 264 16
476 266 0
480 268 0
486 270 0
491 272 0
496 273 15
502 273 0
506 274 0
511 274 16
517 274 0
522 274 0
528 273 0
534 272 0
541 270 16
546 268 0
552 267 0
558 265 0
563 264 15
569 262 0
574 260 0
578 257 0
583 255 16
586 253 0
590 250 0
592 248 0
