1
0 2 0 1 173
244 122 0
244 123 0
243 123 0
243 125 0
241 128 16
239 130 0
236 135 0
233 139 0
230 144 16
226 150 0
223 155 0
218 162 15
214 168 0
209 175 0
204 183 0
199 190 0
193 197 16
188 205 0
183 212 0
178 221 0
171 229 16
167 238 0
161 246 15
157 252 0
153 258 0
150 264 0
149 268 0
148 271 0
147 272 16
147 273 0
147 274 15
147 275 0
149 275 0
151 275 0
154 275 0
157 275 0
162 274 16
168 273 0
176 268 0
183 264 0
190 259 16
200 252 0
209 246 0
219 239 0
230 233 15
241 226 0
251 219 0
262 213 0
272 206 16
282 199 0
292 194 0
302 187 0
311 182 16
320 178 0
327 175 0
333 173 15
337 171 0
343 170 0
347 169 0
350 169 16
352 169 0
354 169 0
355 169 0
356 169 15
356 170 0
357 171 0
358 173 16
358 177 0
357 180 0
355 184 0
353 190 16
352 194 0
350 200 0
347 206 0
344 212 15
340 218 0
335 224 0
329 231 0
325 239 16
321 245 0
317 251 0
314 255 0
311 260 16
308 265 0
304 269 15
302 272 0
300 275 0
299 277 0
298 279 0
298 280 0
298 281 16
298 282 15
299 282 0
300 282 0
301 282 0
303 282 16
306 281 0
309 280 16
313 278 0
317 275 0
323 272 0
327 269 15
332 266 0
338 262 0
344 258 0
350 254 16
356 251 0
363 248 0
369 246 0
375 245 0
378 244 16
381 244 0
383 244 0
385 244 0
386 244 0
388 247 15
390 249 0
391 253 16
392 258 0
392 263 0
392 269 0
391 274 0
390 281 15
388 287 0
386 295 0
384 302 16
383 308 0
381 314 0
380 319 0
379 324 0
379 327 16
379 329 0
380 330 0
380 331 15
382 332 0
383 332 0
385 333 0
387 333 0
390 333 16
394 332 0
398 331 16
403 329 0
409 325 0
416 320 0
424 315 15
433 309 0
442 303 0
452 297 0
463 290 0
474 283 0
485 277 16
498 270 0
509 263 0
522 256 15
537 248 0
549 244 0
564 238 0
576 233 0
588 230 16
598 227 0
607 225 16
616 223 0
623 221 0
628 220 0
633 218 0
636 217 15
639 216 0
642 216 0
644 215 16
646 214 0
647 214 0
648 214 0
649 214 16
