1
0 2 122
245 200 0
245 199 16
245 198 0
246 197 15
247 195 0
249 193 16
252 187 0
256 182 15
258 181 16
263 178 16
269 173 0
276 168 0
284 165 15
295 161 0
307 160 32
321 159 0
335 159 0
350 162 0
372 167 15
397 175 0
411 181 16
430 191 0
448 203 15
465 215 16
475 225 0
484 235 16
490 244 0
492 252 15
493 258 0
494 265 16
494 270 0
493 276 16
491 282 0
487 288 0
482 295 31
477 300 0
471 305 15
466 310 0
458 314 16
450 316 0
441 317 16
429 318 0
417 317 15
405 315 0
391 312 16
379 309 0
367 306 16
353 302 0
340 296 15
326 289 0
312 284 16
301 278 0
291 271 15
282 263 0
273 255 16
267 247 0
261 240 16
257 236 15
254 230 0
252 225 16
251 221 0
251 217 0
253 211 16
256 206 0
264 200 15
272 196 16
283 191 0
296 189 0
313 188 15
329 188 0
352 189 16
375 192 0
399 198 16
426 206 0
445 212 15
458 216 0
466 220 16
469 223 0
470 227 16
473 231 0
473 235 15
473 237 0
473 240 16
473 244 0
473 246 15
473 251 0
473 255 16
471 260 16
470 262 0
468 265 15
465 270 0
462 273 16
460 276 0
459 278 16
456 279 0
455 282 15
453 284 0
450 286 16
447 289 0
442 291 0
440 291 15
435 292 16
428 293 0
420 293 0
409 293 16
399 293 15
387 293 16
375 293 0
362 291 0
351 289 16
341 288 0
332 286 0
326 284 15
322 282 16
321 282 15
321 281 32
321 279 0
319 277 15
319 275 16
319 272 0
317 267 16
316 262 0
